serial,category_serial,match_serial,category_ar,category_en,date_ar,date_en,tens,axis,score,score_z,score_a,diff,diff_abs,soocers_z,soocers_a,notes
211,8,1,مباراة ودية,Friendly Match,9 فبراير 1917,9-Feb-1917,1910-1920,1,0–1,0,1,1,1,,غ.م.,
212,8,2,مباراة ودية,Friendly Match,2 مارس 1917,2-Mar-1917,1910-1920,1,1–0,1,0,-1,1,غ.م.,,
213,8,3,مباراة ودية,Friendly Match,17 نوفمبر 1922,17-Nov-1922,1920-1930,2,0–0,0,0,0,0,,,
214,8,4,مباراة ودية,Friendly Match,5 يناير 1923,5-Jan-1923,1920-1930,2,0–5,0,5,5,5,,صادق فهمي 3 – حسين حجازي – علي رياض,
196,5,1,كأس السلطان,Sultan Cup,17 مارس 1924,17-Mar-1924,1920-1930,2,1–1,1,1,0,0,غ.م.,سالم,نصف النهائي
197,5,2,كأس السلطان,Sultan Cup,21 مارس 1924,21-Mar-1924,1920-1930,2,2–0,2,0,-2,2,غ.م.,,إعادة نصف النهائي
154,4,1,دوري منطقة القاهرة,Cairo District League,أكتوبر 1926,1-Oct-1926,1920-1930,2,0–3,0,3,3,3,,غ.م.,
155,4,2,دوري منطقة القاهرة,Cairo District League,12 نوفمبر 1926,12-Nov-1926,1920-1930,2,0–2,0,2,2,2,,,
156,4,3,دوري منطقة القاهرة,Cairo District League,25 أكتوبر 1927,25-Oct-1927,1920-1930,2,1–2,1,2,1,1,غ.م.,ممدوح مختار 2,
118,2,1,كأس مصر,Egypt Cup,20 أبريل 1928,20-Apr-1928,1920-1930,2,0–1,0,1,1,1,,ممدوح مختار صقر,النهائي
157,4,4,دوري منطقة القاهرة,Cairo District League,30 نوفمبر 1928,30-Nov-1928,1920-1930,2,3–0,3,0,-3,3,إبراهيم يكن – لبيب – السيد أباظة,,
158,4,5,دوري منطقة القاهرة,Cairo District League,21 ديسمبر 1928,21-Dec-1928,1920-1930,2,0–0,0,0,0,0,,,
119,2,2,كأس مصر,Egypt Cup,15 مارس 1929,15-Mar-1929,1920-1930,2,0–1,0,1,1,1,,جميل الزبير,ربع النهائي
215,8,5,مباراة ودية,Friendly Match,25 أكتوبر 1929,25-Oct-1929,1920-1930,2,0–0,0,0,0,0,,,
159,4,6,دوري منطقة القاهرة,Cairo District League,6 ديسمبر 1929,6-Dec-1929,1920-1930,2,1–0,1,0,-1,1,محمد لطيف,,
198,5,3,كأس السلطان,Sultan Cup,7 مارس 1930,7-Mar-1930,1930-1940,3,3–1,3,1,-2,2,محمد لطيف - مصطفى كامل طه 2,محمود مختار التتش,نصف النهائي
160,4,7,دوري منطقة القاهرة,Cairo District League,6 يونيو 1930,6-Jun-1930,1930-1940,3,2–2,2,2,0,0,مصطفى كامل طه – محمد لطيف,ممدوح مختار – محمود مختار التتش,
161,4,8,دوري منطقة القاهرة,Cairo District League,28 نوفمبر 1930,28-Nov-1930,1930-1940,3,0–4,0,4,4,4,,محمود مختار التتش 3 – لبيب,
162,4,9,دوري منطقة القاهرة,Cairo District League,26 ديسمبر 1930,26-Dec-1930,1930-1940,3,3–3,3,3,0,0,رمزي برسوم – توفيق عبد الله – حسين حجازي,مصطفى كامل طه – محمود مختار التتش – لبيب,
216,8,6,مباراة ودية,Friendly Match,23 يناير 1931,23-Jan-1931,1930-1940,3,0–1,0,1,1,1,,أحمد منصور,
217,8,7,مباراة ودية,Friendly Match,13 فبراير 1931,13-Feb-1931,1930-1940,3,2–3,2,3,1,1,محمد لطيف - سعيد الحضري,مصطفى كمال طه 2 - حسن الفار (في مرماه),
120,2,3,كأس مصر,Egypt Cup,26 يونيو 1931,26-Jun-1931,1930-1940,3,1–4,1,4,3,3,رمزي برسوم,لبيب محمود – مصطفى كامل طه – محمود مختار التتش – محمود مهران,النهائي
163,4,10,دوري منطقة القاهرة,Cairo District League,6 نوفمبر 1931,6-Nov-1931,1930-1940,3,1–1,1,1,0,0,سيد مرعي,مصطفى كامل طه,
164,4,11,دوري منطقة القاهرة,Cairo District League,18 ديسمبر 1931,18-Dec-1931,1930-1940,3,2–1,2,1,-1,1,سيد مرعي – سعيد الحضري,فوزي,
121,2,4,كأس مصر,Egypt Cup,6 مايو 1932,6-May-1932,1930-1940,3,2–1,2,1,-1,1,إسماعيل رأفت – سيد مرعي,أمين شعير,النهائي
165,4,12,دوري منطقة القاهرة,Cairo District League,18 نوفمبر 1932,18-Nov-1932,1930-1940,3,3–3,3,3,0,0,محمد لطيف 2 – سيد مرعي,لبيب 2 – هاني,
166,4,13,دوري منطقة القاهرة,Cairo District League,23 ديسمبر 1932,23-Dec-1932,1930-1940,3,0–0,0,0,0,0,,,
122,2,5,كأس مصر,Egypt Cup,24 مارس 1933,24-Mar-1933,1930-1940,3,1–3,1,3,2,2,سيد مرعي,مراد فهمي – أمين شعير – لبيب محمود,نصف النهائي
167,4,14,دوري منطقة القاهرة,Cairo District League,3 نوفمبر 1933,3-Nov-1933,1930-1940,3,3–2,3,2,-1,1,سيد مرعي – مصطفى كامل طه – سعيد الحضري,ليزو – حسين حمدي,
123,2,6,كأس مصر,Egypt Cup,11 مايو 1934,11-May-1934,1930-1940,3,3–0,3,0,-3,3,مصطفى كامل طه 2 – إسماعيل السمكري,,نصف النهائي
168,4,15,دوري منطقة القاهرة,Cairo District League,2 نوفمبر 1934,2-Nov-1934,1930-1940,3,0–3,0,3,3,3,,حسين حمدي – محمود مختار التتش,
169,4,16,دوري منطقة القاهرة,Cairo District League,22 فبراير 1935,22-Feb-1935,1930-1940,3,1–2,1,2,1,1,محمد حسن حلمي,أمين شعير – محمود مختار التتش,
124,2,7,كأس مصر,Egypt Cup,10 مايو 1935,10-May-1935,1930-1940,3,3–0,3,0,-3,3,محمد حسن حلمي – إسماعيل السمكري – سيد مرعي,,النهائي
170,4,17,دوري منطقة القاهرة,Cairo District League,3 نوفمبر 1935,3-Nov-1935,1930-1940,3,1–3,1,3,2,2,مصطفى كامل طه,محمود مختار التتش – حسين حمدي – عبد الكريم صقر,
171,4,18,دوري منطقة القاهرة,Cairo District League,24 يناير 1936,24-Jan-1936,1930-1940,3,0–2,0,2,2,2,––,محمود مختار التتش – حسين حمدي,
172,4,19,دوري منطقة القاهرة,Cairo District League,8 يناير 1937,8-Jan-1937,1930-1940,3,1–5,1,5,4,4,مصطفى كامل طه,غ.م. – مصطفى علواني – عبد الكريم صقر – حسين حمدي,
199,5,4,كأس السلطان,Sultan Cup,19 فبراير 1937,19-Feb-1937,1930-1940,3,1–1,1,1,0,0,علي كاف,عبد الكريم صقر,الدور الأول
200,5,5,كأس السلطان,Sultan Cup,2 أبريل 1937,2-Apr-1937,1930-1940,3,2–1,2,1,-1,1,حسين لبيب - مصطفى كامل طه,صالح الصواف,إعادة الدور الأول
173,4,20,دوري منطقة القاهرة,Cairo District League,16 أبريل 1937,16-Apr-1937,1930-1940,3,1–4,1,4,3,3,محمد حسن حلمي,حسين حمدي – صالح الصواف 2 – مصطفى لطيف,
125,2,8,كأس مصر,Egypt Cup,30 أبريل 1937,30-Apr-1937,1930-1940,3,1–1,1,1,0,0,مصطفى كامل طه,عبد الكريم صقر,ربع النهائي
126,2,9,كأس مصر,Egypt Cup,14 مايو 1937,14-May-1937,1930-1940,3,2–2,2,2,0,0,محمد حسن حلمي – مصطفى كامل طه,لبيب محمود – عبد الكريم صقر,إعادة ربع النهائي
127,2,10,كأس مصر,Egypt Cup,30 مايو 1937,30-May-1937,1930-1940,3,0–5,0,5,5,5,,عبد الكريم صقر 3 – لبيب محمود – حسين حمدي,إعادة ربع النهائي
174,4,21,دوري منطقة القاهرة,Cairo District League,7 يناير 1938,7-Jan-1938,1930-1940,3,2–0,2,0,-2,2,إسماعيل السمكري – عبد الرحمن فوزي,,
175,4,22,دوري منطقة القاهرة,Cairo District League,25 فبراير 1938,25-Feb-1938,1930-1940,3,1–5,1,5,4,4,مصطفى كامل طه,صالح الصواف 2 – العشري – جميل صابر – محمود مختار التتش,
201,5,6,كأس السلطان,Sultan Cup,6 مايو 1938,6-May-1938,1930-1940,3,0–2,0,2,2,2,,محمود مختار التتش - صالح الصواف,نصف النهائي
