tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0196172,movie,Three Tales of Terror,1912,50,3.6,10,nm0892739,Claudius Veltée,nm0281389,Luise Fleck,\N,NA,NA,NA,NA,NA
tt0202566,movie,Satana,1912,\N,5.4,16,nm0535957,Luigi Maggi,NA,NA,nm1880079,Friedrich G. Klopstock,nm0590683,John Milton,NA,NA
tt0003419,movie,The Student of Prague,1913,85,6.5,1619,nm0917467,Paul Wegener,nm0753233,Stellan Rye,nm0263912,Hanns Heinz Ewers,nm0210503,Alfred de Musset,NA,NA
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,6.5,1040,nm0000428,D.W. Griffith,NA,NA,nm0000590,Edgar Allan Poe,nm0000428,D.W. Griffith,NA,NA
tt0003869,movie,The Dream Woman,1914,\N,5.7,9,nm0349785,Alice Guy,NA,NA,nm0172741,Wilkie Collins,nm0349785,Alice Guy,NA,NA
tt0004013,movie,The Ghost Breaker,1914,60,5.1,17,nm0001124,Cecil B. DeMille,nm0002177,Oscar Apfel,nm0002177,Oscar Apfel,nm0001124,Cecil B. DeMille,nm0225469,Paul Dickey
tt0004121,movie,Der Hund von Baskerville,1914,65,5.2,51,nm0576901,Rudolf Meinert,NA,NA,nm0236279,Arthur Conan Doyle,nm0652650,Richard Oswald,nm7402155,NA
tt0004573,movie,Ein seltsamer Fall,1914,50,5.9,9,nm0533048,Max Mack,NA,NA,nm0652650,Richard Oswald,NA,NA,NA,NA
tt0004026,movie,The Golem,1915,60,6.8,1000,nm0301961,Henrik Galeen,nm0917467,Paul Wegener,nm0301961,Henrik Galeen,nm0917467,Paul Wegener,NA,NA
tt0005231,movie,The Hound of the Baskervilles,1915,50,2.9,17,nm2542573,Willy Zeyn,NA,NA,\N,NA,NA,NA,NA,NA
tt0005615,movie,Life Without Soul,1915,70,6.8,23,nm0806961,Joseph W. Smiley,NA,NA,nm0325367,Jesse J. Goldburg,nm0791217,Mary Shelley,NA,NA
tt0005772,movie,Mortmain,1915,\N,5.9,8,nm0551375,Theodore Marston,NA,NA,nm0078442,Marguerite Bertsch,nm0870677,Arthur Chesney Train,NA,NA
tt0006238,movie,Zhenshchina vampir,1915,\N,7,23,nm0869645,Viktor Tourjansky,NA,NA,nm0436576,Anatoli Kamensky,NA,NA,NA,NA
tt0005513,movie,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916,\N,3.8,16,nm0652650,Richard Oswald,NA,NA,nm0236279,Arthur Conan Doyle,nm0652650,Richard Oswald,NA,NA
tt0005514,movie,"Der Hund von Baskerville, 4. Teil",1916,\N,3.6,16,nm0652650,Richard Oswald,NA,NA,nm0236279,Arthur Conan Doyle,nm0652650,Richard Oswald,NA,NA
tt0005529,movie,Blind Justice,1916,100,6.8,239,nm0159725,Benjamin Christensen,NA,NA,nm0159725,Benjamin Christensen,NA,NA,NA,NA
