serial,region,date,year,month,date_month,total_death_missing,cause_of_death,cause_of_death_ar,location,coordinates,lat,lon,collapsed_region,collapsed_region_ar,collapsed_cause,collapsed_cause_ar,date_round,perc,random,year_incidents,year_death,year_avg,region_incidents,region_death,region_avg,cause_incidents,cause_death,cause_avg
1,US-Mexico Border,6-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.006235345,245,5287,21.6,1422,2069,1.5,1101,2166,2
2,US-Mexico Border,12-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.882336406,245,5287,21.6,1422,2069,1.5,1101,2166,2
3,US-Mexico Border,14-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.871060157,245,5287,21.6,1422,2069,1.5,1101,2166,2
4,US-Mexico Border,16-Jan-2014,2014,Jan,15-Jan-2014,1,Shot,طلق ناري,"near Douglas, Arizona","31.344700000000, -109.545000000000",31.3447,-109.545,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Shooting,طلق ناري,1/1/14,0.003108003,0.771501042,245,5287,21.6,1422,2069,1.5,285,701,2.5
5,Europe,16-Jan-2014,2014,Jan,15-Jan-2014,1,Hyperthermia,ارتفاع الحرارة,Border between Russia and Estonia,"59.155100000000, 27.858600000000",59.1551,27.8586,Europe,أوروبا,Harsh Conditions,ظروف قاسية,1/1/14,0.003108003,0.531182066,245,5287,21.6,258,453,1.8,304,679,2.2
6,US-Mexico Border,17-Jan-2014,2014,Jan,15-Jan-2014,1,Shot,طلق ناري,Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Shooting,طلق ناري,1/1/14,0.003108003,0.510733903,245,5287,21.6,1422,2069,1.5,285,701,2.5
7,Mediterranean,19-Jan-2014,2014,Jan,15-Jan-2014,12,Drowning,غرق,Waters near Greece while being towed back to Turkey,"37.283200000000, 27.158200000000",37.2832,27.1582,Mediterranean,البحر الأبيض المتوسط,Drowning,غرق,1/1/14,0.037296037,0.308947696,245,5287,21.6,1019,18515,18.2,1406,20696,14.7
8,US-Mexico Border,22-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.909244463,245,5287,21.6,1422,2069,1.5,1101,2166,2
9,US-Mexico Border,24-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.812914702,245,5287,21.6,1422,2069,1.5,1101,2166,2
10,US-Mexico Border,24-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.349658264,245,5287,21.6,1422,2069,1.5,1101,2166,2
11,US-Mexico Border,25-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.888639753,245,5287,21.6,1422,2069,1.5,1101,2166,2
12,US-Mexico Border,28-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.013199766,245,5287,21.6,1422,2069,1.5,1101,2166,2
13,US-Mexico Border,29-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.645351203,245,5287,21.6,1422,2069,1.5,1101,2166,2
14,US-Mexico Border,29-Jan-2014,2014,Jan,15-Jan-2014,1,Unknown (skeletal remains),غير معروف (بقايا هيكل عظمي),Pima County,"32.058118300000, -111.623576100000",32.0581183,-111.6235761,US-Mexico Border,حدود الولايات المتحدة والمكسيك,Unknown / Other,غير معروف / أخرى,1/1/14,0.003108003,0.304713497,245,5287,21.6,1422,2069,1.5,1101,2166,2
15,Caribbean,30-Jan-2014,2014,Jan,15-Jan-2014,1,Drowning,غرق,"Off the coast of Fort Lauderdale, Florida","26.116000000000, -80.046400000000",26.116,-80.0464,Caribbean,البحر الكاريبي,Drowning,غرق,1/1/14,0.003108003,0.928586121,245,5287,21.6,64,610,9.5,1406,20696,14.7
16,Europe,30-Jan-2014,2014,Jan,15-Jan-2014,1,Vehicle Accident,حادث سيارة,France - Calais,"50.935500000000, 1.878660000000",50.9355,1.87866,Europe,أوروبا,Accident,حادث,1/1/14,0.003108003,0.192049323,245,5287,21.6,258,453,1.8,753,1767,2.3
