serial,user_id,name,name_ar,name_en,screen_name,location,description,tweet_count,tweet_nocount,followers_count,friends_count,account_created_at,status_id,created_at,text,naze7,impression_text,impression,cat,word,word_en,word_freq
1,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,1090616072062074881,30-Jan-2019,إستقبلت الخبير الاسستشاري  في البنك الدولي جو سابا وبحثنا الاوضاع الاقتصادية في لبنان عموما والمهمة المكلف بها سابا بشان ملف النازحين السوريين  والدور الذي يمكن للبنك الدولي القيام به بالتعاون مع  لبنان ومفوضية الامم المتحدة لشؤون اللاجئين لحل معضلة النازحين السوريين في لبنان https://t.co/v8cdzMtlge,TRUE,negative,-1,new,معضلة,dilemma,5
2,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,1008663645205811201,18-Jun-2018,سعدت بلقاء سفير بريطانيا هيوغو شورتر وبحثنا الاوضاع في لبنان والمنطقة والجهود الايلة للحفاظ على الاستقرار اضافة الى تداعيات ازمة النازحين السوريين @ukinlebanon @HugoShorter https://t.co/ekNgZ6ee6k,TRUE,negative,-1,new,أزمة,crisis,68
3,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,803512680434765824,29-Nov-2016,نحن في صدد العمل على تشكيل حكومة لتنطلق بعدها ورشة عمل ومن ابرز مضامينها معالجة المشكلات الاقتصادية وتداعيات النزوح السوري على لبنان,TRUE,negative,-1,new,تداعيات,ramifications,24
4,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,699966267160076288,17-Feb-2016,الوزير باسيل شرح  تعبير العودة الطوعية  بقرار مجلس الامن وتمنيت اضافة بند عن العودة الآمنة للنازحين فور اعلان وقف اطلاق النار في سوريا,TRUE,negative,-1,new,عودة,return,250
5,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,699964178941870080,17-Feb-2016,قمت بلفت النظر بأن حجم مشكلة النازحين السوريين اصبح كبيرا جدا ولم نعد نعرف من هي الهيئة التي تتابع هذا الموضوع بكل جوانبه,TRUE,negative,-1,new,مشكلة,problem,24
6,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,691598153359839232,25-Jan-2016,التقيت بوزير خارجية الفاتيكان المونسنيور بول  ريتشارد غالاغر وتبادلنا الاراء بشأن الوضع في  لبنان لاسيما تداعيات ازمة النازحين السوريين,TRUE,negative,-1,new,أزمة,crisis,68
7,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,532495852456005633,12-Nov-2014,الواقع الذي يعيشه لبنان جراء الازمة السورية والتفاعلات التي احدثها النزوح السوري ادى الى تأثيرات ضاغطة على المجالات الأقتصادية والديموغرافية,TRUE,negative,-1,new,ضغط,pressure,18
8,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,430287054010712064,3-Feb-2014,طالبنا بضرورة العمل على انشاء مخيمات للنازحين السوريين داخل الاراضي السورية لتخفيف أعباء النزوح على الدول المجاورة وعلى السوريين أنفسهم,TRUE,negative,-1,new,عبء,burden,54
9,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,430286210578128896,3-Feb-2014,عرضت على المسؤولين الذين التقيتهم في ميونخ خطورة الواقع الذي يعيشه لبنان جراء الأزمة السورية وتدفق النازحين السوريين باعداد كبيرة,TRUE,negative,-1,new,خطر,danger,16
10,107359225,Najib Mikati,نجيب ميقاتي,Najib Mikati,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,403531377192091648,21-Nov-2013,لبنان بات مضطرا الى اعادة النظر في مقاربة ملف النازحين السوريين بما يتطابق مع مصالحه الوطنية  وواقعه المالي الذي لا يتحمل المزيد من الاعباء,TRUE,negative,-1,new,عبء,burden,54
