serial,user_id,name_en,name_ar,screen_name,location,description,tweet_count,tweet_nocount,followers_count,friends_count,account_created_at,status_id,created_at,text,naze7,impression_text,impression,cat,word,word_freq
26,107359225,Najib Mikati,نجيب ميقاتي,Najib_Mikati,Lebanon | لبنـان,"Official Twitter feed for the Former Prime Minister of Lebanon; also, Member of Parliament for Tripoli, North-Lebanon.",1,0,501812,1231,22-Jan-2010,295864450911698945,28-Jan-2013,إننا نتطلع الى مؤتمر الكويت الذي سيعقد الأربعاء المقبل للحصول على مساعدات دولية لإغاثة النازحين السوريين,TRUE,positive,1,new,إغاثة,2
151,851273180,Nohad Machnouk,نهاد المشنوق,NohadMachnouk,Beirut - Lebanon,Official Twitter of the Member of the Lebanese Parliament Nohad Machnouk,1,0,222714,211,28-Sep-2012,839131361499885568,7-Mar-2017,القائم بأعمال سفارة #هولندا شكر #المشنوق لإعفاء النازحين السوريين المقيدين في سجلات المفوضية العليا لشؤون اللاجئين من رسوم الإقامة في #لبنان https://t.co/jwIhjsf5LU,TRUE,positive,1,new,إعفاء,2
217,126787836,Michel Sleiman,ميشال سليمان,SleimanMichel,Lebanon | لبنـان,12th President of Lebanon after independence | 12th Commander in Chief of the Lebanese Armed Forces | President of the Republic Forum لقاء الجمهورية,1,0,479938,283,27-Mar-2010,292217944010809345,18-Jan-2013,تناول  سليمان موضوع النازحين السوريين مبدياً أمله في ان يتم التعجيل بالاجراءات  وفق الخطة التي اقرتها الحكومة لتأمين احتياجات هؤلاء النازحين,TRUE,positive,1,new,إحتياج,2
248,32828097,Jaafar Abdul Karim,جعفر عبد الكريم,jaafarAbdulKari,Berlin,TV Presenter/Reporter #JaafarTalk جعفر_توك# @DeutscheWelle | Vlog @spiegelonline | Column @zeitonline | جعفر عبد الكريم |,1,0,113148,5540,18-Apr-2009,1126178235165880323,8-May-2019,"أصعب شيء أن تطلب البنت من أمها ثيابا والأم تقول لها 

""لا نملك المال"" 

عائلة سورية لاجئة!

#شباب_توك https://t.co/falMyUMqH4",FALSE,positive,1,new,صعب,2
259,32828097,Jaafar Abdul Karim,جعفر عبد الكريم,jaafarAbdulKari,Berlin,TV Presenter/Reporter #JaafarTalk جعفر_توك# @DeutscheWelle | Vlog @spiegelonline | Column @zeitonline | جعفر عبد الكريم |,1,0,113148,5540,18-Apr-2009,1068161618452860928,29-Nov-2018,"تلميذ بريطاني 

يعتدي على زميله اللاجئ السوري بالضرب 

أمام جميع الطلاب!

#شباب_توك https://t.co/oNZFP5JVVd",FALSE,positive,1,new,إعتداء,2
264,32828097,Jaafar Abdul Karim,جعفر عبد الكريم,jaafarAbdulKari,Berlin,TV Presenter/Reporter #JaafarTalk جعفر_توك# @DeutscheWelle | Vlog @spiegelonline | Column @zeitonline | جعفر عبد الكريم |,1,0,113148,5540,18-Apr-2009,1050443819756507136,11-Oct-2018,"""لا هذا عم يرحمنا ولا هذا عم يرحمنا"" 

لاجئ سوري يرفض العودة للمناطق التي يسيطر عليها ""النظام السوري"" 

وأيضا للمناطق التي تسيطر عليها ""المعارضة""

#شباب_توك من #لبنان https://t.co/k4ddnmFQh8",FALSE,positive,1,new,رحمة,2
265,32828097,Jaafar Abdul Karim,جعفر عبد الكريم,jaafarAbdulKari,Berlin,TV Presenter/Reporter #JaafarTalk جعفر_توك# @DeutscheWelle | Vlog @spiegelonline | Column @zeitonline | جعفر عبد الكريم |,1,0,113148,5540,18-Apr-2009,1050025647274426368,10-Oct-2018,"88% من أسر #اللاجئين_السوريين في لبنان تعيش على الديون! 

أرقام مخيفة عن حالهم في لبنان!

#شباب_توك في #لبنان https://t.co/AcG6isRPHY",FALSE,positive,1,new,خوف,2
302,2258837700,طوني بولس,طوني بولس,TonyBouloss,Lebanon,"صحافي - لبناني عربي حتى النخاع، اغرد بصوتي لحرية وطني، صمتي سياسة، وحديثي ثورة",1,0,15244,3744,23-Dec-2013,1138719410443771904,12-Jun-2019,"لأننا #ضد_خطاب_الكراهية لن نقبل بممارسة الإرهاب النفسي على الاجئين السوريين في لبنان، ولن نسمح لحزب الله ان يستكمل إرهابه على اللاجئين وتسليمهم لنظام الاسد القاتل.. فالاجئ هو أمانة لدى الدولة المضيفة وفق كل المواثيق والاتفاقيات الدولية ومن واجب الدولة تأمين حمايته وضمان كرامته. https://t.co/pMEeR7JGpf",FALSE,positive,1,new,أمانة,2
307,2258837700,طوني بولس,طوني بولس,TonyBouloss,Lebanon,"صحافي - لبناني عربي حتى النخاع، اغرد بصوتي لحرية وطني، صمتي سياسة، وحديثي ثورة",1,0,15244,3744,23-Dec-2013,1069480857063354370,3-Dec-2018,"هذه العبارة العربية تملأ شوارع باريس.. الغرب يدفع ثمن تآمره على ثورة الشعب السوري، هذا الشعب الحي الذي شاهده العالم بأسره يذبح ويقتل ويهجر دون ان يمد يد العون.
التاريخ لا يرحم وستبقى ثورة الشعب السوري نابضة في ضمائر الشعوب ولعنة تلاحق المسؤولين المتآمرين. https://t.co/GvB9rm1G0I",FALSE,positive,1,new,ذبح,2
310,2258837700,طوني بولس,طوني بولس,TonyBouloss,Lebanon,"صحافي - لبناني عربي حتى النخاع، اغرد بصوتي لحرية وطني، صمتي سياسة، وحديثي ثورة",1,0,15244,3744,23-Dec-2013,887714555912224768,19-Jul-2017,"هذه ثقافتنا وهذه قيمنا 
قبل ان نطالب اللاجئين بالخروج من لبنان علينا مطالبة حزب الله الانسحاب من الاراضي السورية المحتلة وإعادتها لسكانها https://t.co/0gHzQJwMZS",FALSE,positive,1,new,قيم,2
