serial,name_ar,tweet_count,created_at,text,impression,key_freq,words_n
1,نجيب ميقاتي,1,30-Jan-2019,إستقبلت الخبير الاسستشاري  في البنك الدولي جو سابا وبحثنا الاوضاع الاقتصادية في لبنان عموما والمهمة المكلف بها سابا بشان ملف النازحين السوريين  والدور الذي يمكن للبنك الدولي القيام به بالتعاون مع  لبنان ومفوضية الامم المتحدة لشؤون اللاجئين لحل معضلة النازحين السوريين في لبنان https://t.co/v8cdzMtlge,-1,2,300
2,نجيب ميقاتي,1,18-Jun-2018,سعدت بلقاء سفير بريطانيا هيوغو شورتر وبحثنا الاوضاع في لبنان والمنطقة والجهود الايلة للحفاظ على الاستقرار اضافة الى تداعيات ازمة النازحين السوريين @ukinlebanon @HugoShorter https://t.co/ekNgZ6ee6k,-1,2,196
3,نجيب ميقاتي,1,29-Nov-2016,نحن في صدد العمل على تشكيل حكومة لتنطلق بعدها ورشة عمل ومن ابرز مضامينها معالجة المشكلات الاقتصادية وتداعيات النزوح السوري على لبنان,-1,2,132
4,نجيب ميقاتي,1,17-Feb-2016,الوزير باسيل شرح  تعبير العودة الطوعية  بقرار مجلس الامن وتمنيت اضافة بند عن العودة الآمنة للنازحين فور اعلان وقف اطلاق النار في سوريا,-1,2,134
5,نجيب ميقاتي,1,17-Feb-2016,قمت بلفت النظر بأن حجم مشكلة النازحين السوريين اصبح كبيرا جدا ولم نعد نعرف من هي الهيئة التي تتابع هذا الموضوع بكل جوانبه,-1,2,121
6,نجيب ميقاتي,1,25-Jan-2016,التقيت بوزير خارجية الفاتيكان المونسنيور بول  ريتشارد غالاغر وتبادلنا الاراء بشأن الوضع في  لبنان لاسيما تداعيات ازمة النازحين السوريين,-1,2,135
7,نجيب ميقاتي,1,12-Nov-2014,الواقع الذي يعيشه لبنان جراء الازمة السورية والتفاعلات التي احدثها النزوح السوري ادى الى تأثيرات ضاغطة على المجالات الأقتصادية والديموغرافية,-1,2,140
8,نجيب ميقاتي,1,3-Feb-2014,طالبنا بضرورة العمل على انشاء مخيمات للنازحين السوريين داخل الاراضي السورية لتخفيف أعباء النزوح على الدول المجاورة وعلى السوريين أنفسهم,-1,2,135
9,نجيب ميقاتي,1,3-Feb-2014,عرضت على المسؤولين الذين التقيتهم في ميونخ خطورة الواقع الذي يعيشه لبنان جراء الأزمة السورية وتدفق النازحين السوريين باعداد كبيرة,-1,2,129
10,نجيب ميقاتي,1,21-Nov-2013,لبنان بات مضطرا الى اعادة النظر في مقاربة ملف النازحين السوريين بما يتطابق مع مصالحه الوطنية  وواقعه المالي الذي لا يتحمل المزيد من الاعباء,-1,2,139
